date,open,high,low,close,Volume BTC,Volume USD,market_cap,NVT,NVRV,NVHR,NVML,NVOL,implied price,fcas,fng_value,fng_class,news_value,news_class,google_trend_bitcoin
2021-02-12,48044.88,49000.0,46231.16,47395.84,5970.13590277,282959606.02594244,892197108025.0,64.824990973541,3.57975153,151302363.39685816,1.4075874183449373,82.47594993973331,8344.668876239295,908.0,92.0,Extreme Greed,0.4255,Positive Sentiment,
2021-02-11,44854.63,48696.84,44040.96,47981.48,9390.81635484,450585267.1134284,830560232550.0,79.16895936394,3.64585169,137450738.2222654,1.119270820191387,70.55061360193173,6387.782295336625,908.0,93.0,Extreme Greed,0.12498000000000001,Positive Sentiment,31.2
2021-02-10,46493.9,47364.09,43746.06,44854.63,9483.3289564,425371211.5076081,864463158975.0,67.446329615151,3.46683384,152367873.85185274,1.058088642819,69.73578770401674,4150.4248981760775,909.0,92.0,Extreme Greed,0.23026666666666665,Positive Sentiment,33.12
2021-02-09,46445.51,48216.09,45000.0,46505.2,12505.08248337,581551361.9056184,828150909700.0,50.639195098102,3.61855022,152367873.85185274,1.2227577378046963,73.87989702952486,5231.165614364702,908.0,95.0,Extreme Greed,0.2605,Positive Sentiment,48.0
2021-02-08,38870.36,46712.12,38050.97,46416.45,19053.71343569,884405737.002033,715240068046.875,58.018884274655,3.65741696,172612555.61907768,1.3851035584082299,73.80985150758987,13334.508594573444,908.0,83.0,Extreme Greed,-0.04676666666666666,Neutral Sentiment,43.68
2021-02-07,39274.8,39727.44,37412.93,38858.39,5973.24016085,232110495.73397204,750101448731.25,108.467116694453,3.141200247585,166219497.49211165,1.186586597339142,69.44033727080154,9018.576247555664,907.0,86.0,Extreme Greed,0.044475,Neutral Sentiment,20.64
2021-02-06,38320.0,41025.48,38230.81,39282.1,8635.66020711,339226867.82171565,701889259296.875,97.042911724672,3.18428793,169173097.2862373,0.9572376053559992,60.00419727203624,5874.358765348013,907.0,84.0,Extreme Greed,0.152025,Positive Sentiment,12.15
2021-02-05,36984.28,38359.69,36618.36,38320.0,5211.97488137,199722877.4540984,695066401625.0,66.527704324154,3.09428668,174939225.66548,0.8665086663213883,56.625460628497,5655.355056374874,907.0,81.0,Extreme Greed,0.26089999999999997,Positive Sentiment,10.260000000000002
2021-02-04,37693.0,38748.52,36197.65,36996.32,11762.80234811,435180399.767429,700094247075.0,62.340283884853,3.046232040351,165622935.5324627,1.00064174003425,61.376381517996045,7381.404437129085,907.0,80.0,Extreme Greed,0.0,Neutral Sentiment,10.53
2021-02-03,35496.91,37732.87,35382.45,37691.63,8777.33287657,330831983.17051214,659997689659.375,78.467204,3.10161426,155271502.21695518,0.8810351134384965,55.77826382947907,7599.239991430013,908.0,78.0,Extreme Greed,0.1653,Positive Sentiment,10.8
2021-02-02,33497.16,36008.67,33431.67,35522.16,7225.86501969,256678333.36783132,626009567612.5,80.51833074,2.95247741,158376932.26129428,1.1915039024300502,64.00397176067052,9058.50917071385,908.0,76.0,Extreme Greed,0.20947500000000002,Positive Sentiment,9.99
2021-02-01,33110.32,34736.1,32333.01,33532.74,8374.05662032,280805063.39446926,604117712024.0,66.65080703511,2.798474060738,123182058.42545108,1.1498364380419035,61.76572209266808,9057.438734443003,908.0,77.0,Extreme Greed,-0.2552,Negative Sentiment,10.8
2021-01-31,34300.19,34380.21,32193.7,33141.38,4750.12315608,157425636.56244656,639690227603.0,106.8508205,2.77012967,149060642.12827694,1.1191823412347024,62.51014805326368,11067.831123288704,909.0,78.0,Extreme Greed,-0.34,Negative Sentiment,8.91
2021-01-30,34265.71,34931.39,32860.0,34323.0,7281.28566632,249915567.92510137,651312510928.0,91.394055287883,2.878188037248,140779494.68088102,0.8241855216849929,53.48797319096798,4337.511753617712,912.0,76.0,Extreme Greed,0.40465,Positive Sentiment,12.4
2021-01-29,33488.66,38620.0,31990.0,34249.64,31439.61903418,1076795633.6578126,606991804100.0,48.8986832,2.87127647,157341788.91318125,1.0314099249544308,58.39209797333398,6788.355368479343,913.0,77.0,Extreme Greed,0.10115,Positive Sentiment,20.15
2021-01-28,30427.34,33870.58,29899.99,33484.87,17879.35697563,598687944.0125638,577351219500.0,63.79594878,2.83537151,150095785.47638997,0.9308635429723424,53.9969818194497,6120.782259140215,911.0,55.0,Greed,0.12726666666666667,Positive Sentiment,12.4
2021-01-27,32521.65,32580.12,29150.49,30424.62,22403.70666206,681624261.7846439,598429347900.0,64.26947151,2.58416695,146990355.43205088,1.0131723340688958,57.456198905631574,7766.182194970605,910.0,78.0,Extreme Greed,0.22405,Positive Sentiment,10.85
2021-01-26,32264.15,32953.28,30847.4,32504.53,11554.91101117,375586951.6099056,626523371375.0,72.34363674,2.79160837,166658079.04619855,1.1665059097244561,63.303327802105635,9634.767570936569,908.0,71.0,Greed,0.4008,Positive Sentiment,9.92
2021-01-25,32289.06,34888.0,31939.12,32261.22,10038.75547087,323862498.77194065,592736308741.0,83.752228171072,2.777191691556,144920068.40457904,1.5989774429427943,73.09197542713245,22342.0132248018,908.0,74.0,Greed,-0.040825,Neutral Sentiment,9.3
2021-01-24,32098.38,33075.75,30960.77,32288.83,4658.70962563,150424283.12133074,599928332756.0,146.571438499288,2.763770318383,143884925.71895775,1.1877446296526826,62.64903156470685,17470.13503312954,908.0,70.0,Greed,-0.15949999999999998,Negative Sentiment,8.37
2021-01-23,32989.1,33468.46,31426.11,32117.49,5255.74586786,168801365.35353488,623634132938.0,119.77424186,2.75080418,160859266.69140872,1.0163301607347786,58.662476253955965,6266.511569451031,909.0,74.0,Greed,-0.02146,Neutral Sentiment,9.92
2021-01-22,30817.86,33864.85,28800.0,32992.06,17019.5834508,561511118.3838006,593452589194.0,66.60222119,2.83570647,144440445.15970212,1.0937970564508106,59.63661496781943,8299.096836130264,908.0,40.0,Fear,0.22255,Positive Sentiment,15.36
2021-01-21,35516.17,35620.96,30044.16,30818.18,21214.6412581,653796632.9275522,652935532712.0,65.781912155676,2.671999724485,132147640.82461096,1.1429575385847777,63.82251167152482,7573.8142163964185,908.0,75.0,Greed,-0.46605,Negative Sentiment,14.72
2021-01-20,35888.13,36440.1,33400.0,35496.91,12160.46753333,431659021.588537,681891167794.0,68.23092118,3.05640832,144440445.15970212,1.187048136317041,66.45482243827736,5239.358561846407,907.0,78.0,Extreme Greed,-0.16003333333333333,Negative Sentiment,11.52
2021-01-19,36665.82,37874.71,35888.0,35917.62,6578.85825052,236296930.6760422,673784916056.0,54.37299594,3.12779915,152635647.7219547,1.2989166439440152,69.36262512404467,10368.73332560978,906.0,80.0,Extreme Greed,0.0,Neutral Sentiment,11.2
2021-01-18,35826.36,37449.86,34777.85,36616.95,6251.2145414,228900410.30171672,679157236688.0,86.70307712,3.16789734,148538046.4408284,1.6440430656998393,79.01277744893248,17701.156007961006,905.0,79.0,Extreme Greed,0.16046666666666667,Positive Sentiment,11.2
2021-01-17,36013.51,36839.0,33833.55,35819.25,6821.71255949,244348627.59651217,677134841175.0,108.15743944,3.14208979,136245242.43354535,1.2589129989790542,68.36386043872929,16114.543215425316,905.0,79.0,Extreme Greed,0.22716666666666663,Positive Sentiment,12.16
2021-01-16,36778.66,37944.12,35350.0,36000.0,7688.58269814,276788977.13304,674228609775.0,104.75881352,3.16002808,150586846.5896793,1.0320014030263522,61.32247138942864,5799.145099692987,904.0,84.0,Extreme Greed,0.05283333333333334,Positive Sentiment,21.84
2021-01-15,39147.98,39694.0,34380.0,36756.57,13499.11727006,496181248.87516934,733886356022.0,58.19714238,3.21691863,158782049.8075481,1.1406724491342377,67.30008889663175,4704.7205134367105,905.0,88.0,Extreme Greed,-0.2787,Negative Sentiment,27.56
2021-01-14,37393.49,40112.78,36717.23,39134.35,10923.5047334,427484257.46353227,648033825972.0,51.93213049,3.43968572,150586847.08139154,1.085657320342818,61.86788038926047,7098.475182057148,905.0,83.0,Extreme Greed,0.119175,Positive Sentiment,31.72
